"i18n=>","en","ru"
"=> Text",,
"POP JEWELS","POP JEWELS","ВЗРЫВНЫЕ САМОЦВЕТЫ"
"DAILY_REWARDS","DAILY REWARDS","ЕЖЕДНЕВНЫЕ НАГРАДЫ"
"CLAIM","CLAIM","Получить"
"CLAIM_X2","CLAIM X2","Получить X2"
"DAY_{X}","DAY {X}","ДЕНЬ {X}"
"PLAY_NOW","PLAY NOW","ИГРАТЬ СЕЙЧАС"
"PLAY_WITH_FRIENDS","PLAY WITH FRIENDS","ИГРАТЬ С ДРУЗЬЯМИ"
"RANK","RANK","МЕСТО"
"DAILY","DAILY","ЕЖЕДНЕВНО"
"GIFT","GIFT","ПОДАРОК"
"SETTINGS","SETTINGS","НАСТРОЙКИ"
"LEADERBOARDS","LEADERBOARDS","ТАБЛИЦА ЛИДЕРОВ"
"PLAY","PLAY","ИГРАТЬ"
"WITH_FRIENDS","WITH FRIENDS","С ДРУЗЬЯМИ"
"FRIENDS","FRIENDS","ДРУЗЬЯ"
"WORLD","WORLD","ВЕСЬ МИР"
"DAILY_MISSION","DAILY MISSIONS","ЕЖЕДНЕВНЫЕ МИССИИ"
"PASS_10_LEVELS","PASS 10 LEVELS","ПРОЙДИ 10 УРОВНЕЙ"
"COLLECT_300_DIAMONDS","COLLECT 300 DIAMONDS","СОБЕРИ 300 АЛМАЗОВ"
"INVITE_2_FRIENDS","INVITE 2 FRIENDS","ПРИГЛАСИ 2 ДРУЗЕЙ"
"REACH_TOTAL_SCORES","REACH TOTAL SCORES","НАБЕРИ ОБЩЕЕ ЧИСЛО ОЧКОВ"
"WATCH_A_VIDEO_TO_GET_{X}_DIAMONDS!","WATCH A VIDEO TO GET\\n{X} DIAMONDS!","ПОСМОТРИ ВИДЕО, ЧТОБЫ ПОЛУЧИТЬ\\n{X} АЛМАЗОВ!"
"GET_NOW","GET NOW!","ПОЛУЧИ ПРЯМО СЕЙЧАС!"
"TARGET","TARGET","ЦЕЛЬ"
"GIFT","GIFT","ПОДАРОК"
"MISSION","MISSION","МИССИЯ"
"YOUR_SCORE","YOUR SCORE","ТВОЙ РЕЗУЛЬТАТ"
"LEVEL","LEVEL","УРОВЕНЬ"
"REQUESTING","REQUESTING...","ЗАПРОС..."
"LOADING_INTERSTITIAL_AD","LOADING INTERSTITIAL AD...","ЗАГРУЗКА ПРОМЕЖУТОЧНОЙ РЕКЛАМЫ..."
"HAMMER","HAMMER","МОЛОТОК"
"HAMMER_DESCRIPTION","USE HAMMER TO SMASH ANY GEM","ИСПОЛЬЗУЙ МОЛОТОК, ЧТОБЫ РАЗБИТЬ ЛЮБОЙ САМОЦВЕТ"
"MAGIC_BOTTLE","MAGIC BOTTLE","ВОЛШЕБНАЯ БУТЫЛКА"
"MAGIC_BOTTLE_DESCRIPTION","USE MAGIC BOTTLE TO CHANGE A GEM COLOR","ИСПОЛЬЗУЙ ВОЛШЕБНУЮ БУТЫЛКУ, ЧТОБЫ ИЗМЕНИТЬ ЦВЕТ САМОЦВЕТА"
"LEVEL_FAILED","LEVEL FAILED","УРОВЕНЬ НЕ ПРОЙДЕН"
"FAILED_TEXT","YOU DID NOT REACH THE TARGET SCORE","ТЫ НЕ НАБРАЛ НУЖНОЕ ЧИСЛО ОЧКОВ"
"CONTINUE","CONTINUE","ПРОДОЛЖИТЬ"
"YOUR_SCORE","YOUR SCORE","ТВОЙ РЕЗУЛЬТАТ"
"BEST_SCORE","BEST SCORE","ЛУЧШИЙ РЕЗУЛЬТАТ"
"GLOBAL","GLOBAL","ВЕСЬ МИР"
"JOIN","JOIN","ПРИСОЕДИНИТЬСЯ"
"REPLAY","REPLAY","ИГРАТЬ ЗАНОВО"
"HOME","HOME","ДОМОЙ"
"TODAY_RECORD","TODAY RECORD","СЕГОДНЯШНИЙ РЕЗУЛЬТАТ"
"SHARE","SHARE","ПОДЕЛИТЬСЯ"
"WAITING","WAITING","ОЖИДАНИЕ"
"WAITING_FOR_OPPONENT","WAITING FOR OPPONENT","ОЖИДАНИЕ ОППОНЕНТА"
"RESTART","RESTART","НАЧАТЬ ЗАНОВО"
"DRAW","DRAW","ЖЕРЕБЬЕВКА"
"YOU_LOSE","YOU LOSE","ТЫ ПРОИГРАЕШЬ"
"YOU_WIN","YOU WIN","ТЫ ВЫИГРАЕШЬ"
"VS","VS","ПРОТИВ"
"GUIDE_TEXT_GEM","TAP ON TWO OR MORE GEMS OF THE SAME COLOR TO DESTROY THEM","НАЖМИ НА ДВА ИЛИ БОЛЬШЕ САМОЦВЕТА ОДНОГО ЦВЕТА, ЧТОБЫ УНИЧТОЖИТЬ ИХ"
"GUIDE_TEXT_CURRENT_SCORE","THIS IS YOUR CURRENT SCORE","ЭТО ТВОЙ ТЕКУЩИЙ РЕЗУЛЬТАТ"
"GUIDE_TEXT_TARGET_SCORE","THIS IS THE TARGET SCORE FOR EACH LEVEL YOU NEED TO PASS","ЭТО НЕОБХОДИМЫЙ РЕЗУЛЬТАТ ДЛЯ КАЖДОГО УРОВНЯ, КОТОРЫЙ ТЕБЕ НУЖНО ПРОЙТИ"
"GUIDE_TEXT_RAINBOW_GEM","RAINBOW GEM CAN CLEAR THE GEMS SURROUNDING IT","РАДУЖНЫЙ САМОЦВЕТ МОЖЕТ УБРАТЬ САМОЦВЕТЫ, КОТОРЫЕ ЕГО ОКРУЖАЮТ"
"GUIDE_TEXT_HAMMER","THIS IS A HAMMER, USE IT TO SMASH ANY GEM!","ЭТО МОЛОТОК. ИСПОЛЬЗУЙ ЕГО, ЧТОБЫ РАЗБИТЬ ЛЮБОЙ САМОЦВЕТ!"
"GUIDE_TEXT_SHUFFLE","THIS IS A SHUFFLE TILE, USE IT TO SHUFFLE ALL GEMS","ЭТО ПЛИТКА ПЕРЕМЕШИВАНИЯ. ИСПОЛЬЗУЙ ЕЕ, ЧТОБЫ ПЕРЕМЕШАТЬ ВСЕ САМОЦВЕТЫ"
"GUIDE_TEXT_MAGIC_BOTTLE","THIS IS A MAGIC BOTTLE, USE IT TO CHANGE A GEM COLOUR","ЭТО ВОЛШЕБНАЯ БУТЫЛКА. ИСПОЛЬЗУЙ ЕЕ, ЧТОБЫ ИЗМЕНИТЬ ЦВЕТ САМОЦВЕТА"
"NO_ADS_TO_DISPLAY","NO ADS TO DISPLAY!","НЕТ РЕКЛАМЫ ДЛЯ ОТОБРАЖЕНИЯ!"
"NO_REWARDS","SORRY, NO REWARDS!","ИЗВИНИ, НАГРАД НЕТ!"
"CANCELLED_AD","YOU HAVE CANCELLED THE AD!","ТЫ ОТКАЗАЛСЯ ОТ ПРОСМОТРА РЕКЛАМЫ!"
"LOADING","LOADING...","ЗАГРУЗКА..."
"LOADING_AD","LOADING AD ...","ЗАГРУЗКА РЕКЛАМЫ..."
"YOU_HAVE_JUST_RECEIVED_{X}_DIAMONDS","YOU HAVE JUST RECEIVED\\n{X} DIAMONDS","ТЫ ТОЛЬКО ЧТО ПОЛУЧИЛ\\n{X} АЛМАЗОВ"
"CLOSE","CLOSE","Закрыть"
"LEADERBOARD_EMPTY","Leaderboard is empty!","пустой"
"MESSAGE_INVITE","{playerName} challenges you","{Playername} бросает вызов вам"
"MESSAGE_FINISH_MATCH","{playerName} just finished. Check them now.","{Playername} только что закончил. Проверьте их сейчас."
"MESSAGE_BEST_SCORE","{playerName} beat your high score. Their score: {playerScore}","{playername} победил ваш высокий балл. Их оценка: {игроки}"
"MESSAGE_FINISH_TURN","{playerName} got {score} scores. So easy! Can you?","{Playername} получил оценки. Так просто! Ты можешь?"
"SHARE_LEADERBOARDS","A ha, I'm the best!","Ха, я лучший!"
"SHARE_GAME_RESULTS","Pheww, a great match!","Pheww, отличный матч!"
"SHARE_BEST_SCORE","Great! I have a best score!","Большой! У меня есть лучший результат!"
"<=",,
"=> Texture",,
"NO_THANKS","texts/no-thank","texts-ru/no-thank"
"COOL","texts/cool","texts-ru/cool"
"CONGRATULATIONS","texts/congratulation","texts-ru/congratulation"
"EXCELLENT","texts/excellent","texts-ru/excellent"
"GOOD","texts/good","texts-ru/good"
"GREAT","texts/great","texts-ru/great"
"LOGO","title-logo","title-logo"
"<=",,
